2024-09-28 16:49:20.497,192.168.15.134 - 2024-09-28 16:49:20.205
2024-09-28 16:49:21.560,192.168.15.134 - 2024-09-28 16:49:21.205
2024-09-28 16:49:22.396,192.168.15.134 - 2024-09-28 16:49:22.206
2024-09-28 16:49:23.568,192.168.15.134 - 2024-09-28 16:49:23.207
2024-09-28 16:49:24.450,192.168.15.134 - 2024-09-28 16:49:24.208
2024-09-28 16:49:25.423,192.168.15.134 - 2024-09-28 16:49:25.209
2024-09-28 16:49:26.581,192.168.15.134 - 2024-09-28 16:49:26.210
2024-09-28 16:49:27.382,192.168.15.134 - 2024-09-28 16:49:27.211
2024-09-28 16:49:28.406,192.168.15.134 - 2024-09-28 16:49:28.212
2024-09-28 16:49:29.532,192.168.15.134 - 2024-09-28 16:49:29.213
2024-09-28 16:49:32.400,192.168.15.134 - 2024-09-28 16:49:30.214
2024-09-28 16:49:32.400,192.168.15.134 - 2024-09-28 16:49:31.215
2024-09-28 16:49:32.707,192.168.15.134 - 2024-09-28 16:49:32.216
2024-09-28 16:49:33.425,192.168.15.134 - 2024-09-28 16:49:33.217
2024-09-28 16:49:34.449,192.168.15.134 - 2024-09-28 16:49:34.218
2024-09-28 16:49:35.882,192.168.15.134 - 2024-09-28 16:49:35.219
2024-09-28 16:49:36.399,192.168.15.134 - 2024-09-28 16:49:36.220
2024-09-28 16:49:37.410,192.168.15.134 - 2024-09-28 16:49:37.221
2024-09-28 16:49:38.441,192.168.15.134 - 2024-09-28 16:49:38.222
2024-09-28 16:49:39.467,192.168.15.134 - 2024-09-28 16:49:39.223
2024-09-28 16:49:40.482,192.168.15.134 - 2024-09-28 16:49:40.224
2024-09-28 16:49:41.387,192.168.15.134 - 2024-09-28 16:49:41.225
2024-09-28 16:50:08.550,192.168.15.134 - 2024-09-28 16:50:08.127
2024-09-28 16:50:08.628,192.168.15.134 - 2024-09-28 16:50:08.138
2024-09-28 16:50:08.628,192.168.15.134 - 2024-09-28 16:50:08.149
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.160
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.171
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.182
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.193
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.204
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.215
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.226
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.237
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.248
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.259
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.270
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.281
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.292
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.303
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.314
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.325
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.336
2024-09-28 16:50:08.629,192.168.15.134 - 2024-09-28 16:50:08.347
2024-09-28 16:50:08.630,192.168.15.134 - 2024-09-28 16:50:08.358
